page_id,page_url,image_url,status,http_status,bytes_saved,local_path,reason
366,https://laurahaamster.blogspot.com/2018/11/send-laura-power-of-ethical-reasoning.html,https://resources.blogblog.com/img/navbar/icons_peach.png,OK,200,907,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\navbar\icons_peach_de6d7276cd.png,
366,https://laurahaamster.blogspot.com/2018/11/send-laura-power-of-ethical-reasoning.html,https://themes.googleusercontent.com/image?id=0BwVBOzw_-hbMNzE5NTg3YzUtMGU0Mi00OWQ3LTg2NjUtODk1OGVlMjg1YjZj,OK,200,53665,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\themes.googleusercontent.com\image_54a3eb0723.png,
366,https://laurahaamster.blogspot.com/2018/11/send-laura-power-of-ethical-reasoning.html,https://www.blogger.com/img/share_buttons_20_3.png,OK,200,5080,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\blogger.com\img\share_buttons_20_3_c7ee5dc951.png,
367,https://laurahaamster.blogspot.com/2018/11/prepare-for-preliminary-reading-tour-in.html,https://resources.blogblog.com/img/icon18_edit_allbkg.gif,OK,200,162,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\icon18_edit_allbkg_459517fc40.gif,
367,https://laurahaamster.blogspot.com/2018/11/prepare-for-preliminary-reading-tour-in.html,https://resources.blogblog.com/img/navbar/icons_peach.png,OK,200,907,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\navbar\icons_peach_de6d7276cd.png,
367,https://laurahaamster.blogspot.com/2018/11/prepare-for-preliminary-reading-tour-in.html,https://themes.googleusercontent.com/image?id=0BwVBOzw_-hbMNzE5NTg3YzUtMGU0Mi00OWQ3LTg2NjUtODk1OGVlMjg1YjZj,OK,200,53665,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\themes.googleusercontent.com\image_54a3eb0723.png,
367,https://laurahaamster.blogspot.com/2018/11/prepare-for-preliminary-reading-tour-in.html,https://www.blogger.com/img/share_buttons_20_3.png,OK,200,5080,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\blogger.com\img\share_buttons_20_3_c7ee5dc951.png,
368,https://laurahaamster.blogspot.com/2018/11/send-laura-when-i-leave-this-place.html,https://resources.blogblog.com/img/icon18_edit_allbkg.gif,OK,200,162,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\icon18_edit_allbkg_459517fc40.gif,
368,https://laurahaamster.blogspot.com/2018/11/send-laura-when-i-leave-this-place.html,https://resources.blogblog.com/img/navbar/icons_peach.png,OK,200,907,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\navbar\icons_peach_de6d7276cd.png,
368,https://laurahaamster.blogspot.com/2018/11/send-laura-when-i-leave-this-place.html,https://themes.googleusercontent.com/image?id=0BwVBOzw_-hbMNzE5NTg3YzUtMGU0Mi00OWQ3LTg2NjUtODk1OGVlMjg1YjZj,OK,200,53665,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\themes.googleusercontent.com\image_54a3eb0723.png,
368,https://laurahaamster.blogspot.com/2018/11/send-laura-when-i-leave-this-place.html,https://www.blogger.com/img/share_buttons_20_3.png,OK,200,5080,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\blogger.com\img\share_buttons_20_3_c7ee5dc951.png,
369,https://laurahaamster.blogspot.com/2018/11/arrive-in-toronto.html,https://resources.blogblog.com/img/icon18_edit_allbkg.gif,OK,200,162,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\icon18_edit_allbkg_459517fc40.gif,
369,https://laurahaamster.blogspot.com/2018/11/arrive-in-toronto.html,https://resources.blogblog.com/img/navbar/icons_peach.png,OK,200,907,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\navbar\icons_peach_de6d7276cd.png,
369,https://laurahaamster.blogspot.com/2018/11/arrive-in-toronto.html,https://themes.googleusercontent.com/image?id=0BwVBOzw_-hbMNzE5NTg3YzUtMGU0Mi00OWQ3LTg2NjUtODk1OGVlMjg1YjZj,OK,200,53665,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\themes.googleusercontent.com\image_54a3eb0723.png,
369,https://laurahaamster.blogspot.com/2018/11/arrive-in-toronto.html,https://www.blogger.com/img/share_buttons_20_3.png,OK,200,5080,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\blogger.com\img\share_buttons_20_3_c7ee5dc951.png,
370,https://laurahaamster.blogspot.com/2018/11/go-upstate.html,https://resources.blogblog.com/img/icon18_edit_allbkg.gif,OK,200,162,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\icon18_edit_allbkg_459517fc40.gif,
370,https://laurahaamster.blogspot.com/2018/11/go-upstate.html,https://resources.blogblog.com/img/navbar/icons_peach.png,OK,200,907,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\navbar\icons_peach_de6d7276cd.png,
370,https://laurahaamster.blogspot.com/2018/11/go-upstate.html,https://themes.googleusercontent.com/image?id=0BwVBOzw_-hbMNzE5NTg3YzUtMGU0Mi00OWQ3LTg2NjUtODk1OGVlMjg1YjZj,OK,200,53665,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\themes.googleusercontent.com\image_54a3eb0723.png,
370,https://laurahaamster.blogspot.com/2018/11/go-upstate.html,https://www.blogger.com/img/share_buttons_20_3.png,OK,200,5080,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\blogger.com\img\share_buttons_20_3_c7ee5dc951.png,
371,https://laurahaamster.blogspot.com/2018/11/lauras-moms-house.html,https://resources.blogblog.com/img/icon18_edit_allbkg.gif,OK,200,162,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\icon18_edit_allbkg_459517fc40.gif,
371,https://laurahaamster.blogspot.com/2018/11/lauras-moms-house.html,https://resources.blogblog.com/img/navbar/icons_peach.png,OK,200,907,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\navbar\icons_peach_de6d7276cd.png,
371,https://laurahaamster.blogspot.com/2018/11/lauras-moms-house.html,https://themes.googleusercontent.com/image?id=0BwVBOzw_-hbMNzE5NTg3YzUtMGU0Mi00OWQ3LTg2NjUtODk1OGVlMjg1YjZj,OK,200,53665,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\themes.googleusercontent.com\image_54a3eb0723.png,
371,https://laurahaamster.blogspot.com/2018/11/lauras-moms-house.html,https://www.blogger.com/img/share_buttons_20_3.png,OK,200,5080,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\blogger.com\img\share_buttons_20_3_c7ee5dc951.png,
372,https://laurahaamster.blogspot.com/2018/11/escape.html,https://resources.blogblog.com/img/icon18_edit_allbkg.gif,OK,200,162,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\icon18_edit_allbkg_459517fc40.gif,
372,https://laurahaamster.blogspot.com/2018/11/escape.html,https://resources.blogblog.com/img/navbar/icons_peach.png,OK,200,907,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\navbar\icons_peach_de6d7276cd.png,
372,https://laurahaamster.blogspot.com/2018/11/escape.html,https://themes.googleusercontent.com/image?id=0BwVBOzw_-hbMNzE5NTg3YzUtMGU0Mi00OWQ3LTg2NjUtODk1OGVlMjg1YjZj,OK,200,53665,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\themes.googleusercontent.com\image_54a3eb0723.png,
372,https://laurahaamster.blogspot.com/2018/11/escape.html,https://www.blogger.com/img/share_buttons_20_3.png,OK,200,5080,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\blogger.com\img\share_buttons_20_3_c7ee5dc951.png,
373,https://laurahaamster.blogspot.com/2018/11/nyc.html,https://resources.blogblog.com/img/icon18_edit_allbkg.gif,OK,200,162,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\icon18_edit_allbkg_459517fc40.gif,
373,https://laurahaamster.blogspot.com/2018/11/nyc.html,https://resources.blogblog.com/img/navbar/icons_peach.png,OK,200,907,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\navbar\icons_peach_de6d7276cd.png,
373,https://laurahaamster.blogspot.com/2018/11/nyc.html,https://themes.googleusercontent.com/image?id=0BwVBOzw_-hbMNzE5NTg3YzUtMGU0Mi00OWQ3LTg2NjUtODk1OGVlMjg1YjZj,OK,200,53665,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\themes.googleusercontent.com\image_54a3eb0723.png,
373,https://laurahaamster.blogspot.com/2018/11/nyc.html,https://www.blogger.com/img/share_buttons_20_3.png,OK,200,5080,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\blogger.com\img\share_buttons_20_3_c7ee5dc951.png,
374,https://laurahaamster.blogspot.com/2018/11/calvin.html,https://resources.blogblog.com/img/icon18_edit_allbkg.gif,OK,200,162,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\icon18_edit_allbkg_459517fc40.gif,
374,https://laurahaamster.blogspot.com/2018/11/calvin.html,https://resources.blogblog.com/img/navbar/icons_peach.png,OK,200,907,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\navbar\icons_peach_de6d7276cd.png,
374,https://laurahaamster.blogspot.com/2018/11/calvin.html,https://themes.googleusercontent.com/image?id=0BwVBOzw_-hbMNzE5NTg3YzUtMGU0Mi00OWQ3LTg2NjUtODk1OGVlMjg1YjZj,OK,200,53665,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\themes.googleusercontent.com\image_54a3eb0723.png,
374,https://laurahaamster.blogspot.com/2018/11/calvin.html,https://www.blogger.com/img/share_buttons_20_3.png,OK,200,5080,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\blogger.com\img\share_buttons_20_3_c7ee5dc951.png,
375,https://laurahaamster.blogspot.com/2018/11/baltimore.html,https://resources.blogblog.com/img/icon18_edit_allbkg.gif,OK,200,162,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\icon18_edit_allbkg_459517fc40.gif,
375,https://laurahaamster.blogspot.com/2018/11/baltimore.html,https://resources.blogblog.com/img/navbar/icons_peach.png,OK,200,907,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\navbar\icons_peach_de6d7276cd.png,
375,https://laurahaamster.blogspot.com/2018/11/baltimore.html,https://themes.googleusercontent.com/image?id=0BwVBOzw_-hbMNzE5NTg3YzUtMGU0Mi00OWQ3LTg2NjUtODk1OGVlMjg1YjZj,OK,200,53665,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\themes.googleusercontent.com\image_54a3eb0723.png,
375,https://laurahaamster.blogspot.com/2018/11/baltimore.html,https://www.blogger.com/img/share_buttons_20_3.png,OK,200,5080,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\blogger.com\img\share_buttons_20_3_c7ee5dc951.png,
376,https://laurahaamster.blogspot.com/2018/11/chesapeake-bay.html,https://resources.blogblog.com/img/icon18_edit_allbkg.gif,OK,200,162,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\icon18_edit_allbkg_459517fc40.gif,
376,https://laurahaamster.blogspot.com/2018/11/chesapeake-bay.html,https://resources.blogblog.com/img/navbar/icons_peach.png,OK,200,907,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\navbar\icons_peach_de6d7276cd.png,
376,https://laurahaamster.blogspot.com/2018/11/chesapeake-bay.html,https://themes.googleusercontent.com/image?id=0BwVBOzw_-hbMNzE5NTg3YzUtMGU0Mi00OWQ3LTg2NjUtODk1OGVlMjg1YjZj,OK,200,53665,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\themes.googleusercontent.com\image_54a3eb0723.png,
376,https://laurahaamster.blogspot.com/2018/11/chesapeake-bay.html,https://www.blogger.com/img/share_buttons_20_3.png,OK,200,5080,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\blogger.com\img\share_buttons_20_3_c7ee5dc951.png,
377,https://laurahaamster.blogspot.com/2018/11/book-tour.html,https://resources.blogblog.com/img/icon18_edit_allbkg.gif,OK,200,162,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\icon18_edit_allbkg_459517fc40.gif,
377,https://laurahaamster.blogspot.com/2018/11/book-tour.html,https://resources.blogblog.com/img/navbar/icons_peach.png,OK,200,907,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\navbar\icons_peach_de6d7276cd.png,
377,https://laurahaamster.blogspot.com/2018/11/book-tour.html,https://themes.googleusercontent.com/image?id=0BwVBOzw_-hbMNzE5NTg3YzUtMGU0Mi00OWQ3LTg2NjUtODk1OGVlMjg1YjZj,OK,200,53665,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\themes.googleusercontent.com\image_54a3eb0723.png,
377,https://laurahaamster.blogspot.com/2018/11/book-tour.html,https://www.blogger.com/img/share_buttons_20_3.png,OK,200,5080,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\blogger.com\img\share_buttons_20_3_c7ee5dc951.png,
378,https://laurahaamster.blogspot.com/2018/11/manhattan-reading.html,https://resources.blogblog.com/img/icon18_edit_allbkg.gif,OK,200,162,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\icon18_edit_allbkg_459517fc40.gif,
378,https://laurahaamster.blogspot.com/2018/11/manhattan-reading.html,https://resources.blogblog.com/img/navbar/icons_peach.png,OK,200,907,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\navbar\icons_peach_de6d7276cd.png,
378,https://laurahaamster.blogspot.com/2018/11/manhattan-reading.html,https://themes.googleusercontent.com/image?id=0BwVBOzw_-hbMNzE5NTg3YzUtMGU0Mi00OWQ3LTg2NjUtODk1OGVlMjg1YjZj,OK,200,53665,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\themes.googleusercontent.com\image_54a3eb0723.png,
378,https://laurahaamster.blogspot.com/2018/11/manhattan-reading.html,https://www.blogger.com/img/share_buttons_20_3.png,OK,200,5080,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\blogger.com\img\share_buttons_20_3_c7ee5dc951.png,
379,https://laurahaamster.blogspot.com/2018/11/vacation.html,https://resources.blogblog.com/img/icon18_edit_allbkg.gif,OK,200,162,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\icon18_edit_allbkg_459517fc40.gif,
379,https://laurahaamster.blogspot.com/2018/11/vacation.html,https://resources.blogblog.com/img/navbar/icons_peach.png,OK,200,907,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\navbar\icons_peach_de6d7276cd.png,
379,https://laurahaamster.blogspot.com/2018/11/vacation.html,https://themes.googleusercontent.com/image?id=0BwVBOzw_-hbMNzE5NTg3YzUtMGU0Mi00OWQ3LTg2NjUtODk1OGVlMjg1YjZj,OK,200,53665,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\themes.googleusercontent.com\image_54a3eb0723.png,
379,https://laurahaamster.blogspot.com/2018/11/vacation.html,https://www.blogger.com/img/share_buttons_20_3.png,OK,200,5080,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\blogger.com\img\share_buttons_20_3_c7ee5dc951.png,
380,https://laurahaamster.blogspot.com/2018/11/end-of-tour.html,https://resources.blogblog.com/img/icon18_edit_allbkg.gif,OK,200,162,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\icon18_edit_allbkg_459517fc40.gif,
380,https://laurahaamster.blogspot.com/2018/11/end-of-tour.html,https://resources.blogblog.com/img/navbar/icons_peach.png,OK,200,907,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\navbar\icons_peach_de6d7276cd.png,
380,https://laurahaamster.blogspot.com/2018/11/end-of-tour.html,https://themes.googleusercontent.com/image?id=0BwVBOzw_-hbMNzE5NTg3YzUtMGU0Mi00OWQ3LTg2NjUtODk1OGVlMjg1YjZj,OK,200,53665,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\themes.googleusercontent.com\image_54a3eb0723.png,
380,https://laurahaamster.blogspot.com/2018/11/end-of-tour.html,https://www.blogger.com/img/share_buttons_20_3.png,OK,200,5080,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\blogger.com\img\share_buttons_20_3_c7ee5dc951.png,
